group,taxa,species,sp_ncbi,GS_source,GS_obs,Cvalue_1C_pg,ploidy,N_chromosomes_2n,method,congener
plant,Plant,Lolium perenne,Lolium perenne,"Leitch IJ, Johnston E, Pellicer J, Hidalgo O, Bennett MD. 2019. Plant DNA C-values Database (Release 7.1). https://cvalues.science.kew.org/",NA,5.6,4,28,FC_PI,no
plant,Plant,Lolium rigidum,Lolium rigidum,"Leitch IJ, Johnston E, Pellicer J, Hidalgo O, Bennett MD. 2019. Plant DNA C-values Database (Release 7.1). https://cvalues.science.kew.org/",NA,2.75,2,14,FC_PI,no
plant,Plant,Lotus purshianus,Acmispon americanus,NA,NA,NA,NA,NA,NA,NA
plant,Plant,Lotus wrangelianus,Acmispon wrangelianus,NA,NA,NA,NA,NA,NA,NA
plant,Plant,Lupinus bicolor,Lupinus bicolor,NA,NA,NA,NA,NA,NA,NA
plant,Plant,Lythrum salicaria,Lythrum salicaria,NA,NA,NA,NA,NA,NA,NA
plant,Plant,Malus domestica,Malus domestica,"Tatum TC, Stepanovic S, Biradar DP, Rayburn AL & Korban SS. 2005. Variation in nuclear DNA content in Malus species and cultivated apples. Genome 48(5): 924-930.",average of 14 cultivars,0.806,2,34,FC_PI,no
plant,Plant,Malus domestica,Malus domestica,"Tatum TC, Stepanovic S, Biradar DP, Rayburn AL & Korban SS. 2005. Variation in nuclear DNA content in Malus species and cultivated apples. Genome 48(5): 924-930.",cultivar ‘Jonagold’ ,1.24,3,51,FC_PI,no
plant,Plant,Medicago polymorpha,Medicago polymorpha,"Leitch IJ, Johnston E, Pellicer J, Hidalgo O, Bennett MD. 2019. Plant DNA C-values Database (Release 7.1). https://cvalues.science.kew.org/",NA,0.56,2,14,FC_EB,no
plant,Plant,Melaleuca quinquenervia,Melaleuca quinquenervia,"Leitch IJ, Johnston E, Pellicer J, Hidalgo O, Bennett MD. 2019. Plant DNA C-values Database (Release 7.1). https://cvalues.science.kew.org/",NA,0.97,NA,NA,FC_PI,no
plant,Plant,Melilotus officinalis,Melilotus officinalis,"Leitch IJ, Johnston E, Pellicer J, Hidalgo O, Bennett MD. 2019. Plant DNA C-values Database (Release 7.1). https://cvalues.science.kew.org/",NA,1.18,2,16,FC_PI,no
plant,Plant,Mimulus guttatus,Erythranthe guttata,"Leitch IJ, Johnston E, Pellicer J, Hidalgo O, Bennett MD. 2019. Plant DNA C-values Database (Release 7.1). https://cvalues.science.kew.org/",NA,0.37,4,NA,FC_PI,no
plant,Plant,Oenothera biennis,Oenothera biennis,"Leitch IJ, Johnston E, Pellicer J, Hidalgo O, Bennett MD. 2019. Plant DNA C-values Database (Release 7.1). https://cvalues.science.kew.org/",NA,1.15,2,14,FC_PI,no
plant,Plant,Panax quinquefolius,Panax quinquefolius,"Obae SG & West TP. 2012. Nuclear DNA content and genome size of American ginseng. Journal of Medicinal Plants Research 6(32): 4719-4723. Hu SY, Rüdenberg L & Del Tredici P. 1980. Studies of American ginsengs. Rhodora 82(832): 627-636.",NA,5.03,4,48,FC_PI,no
plant,Plant,Pastinaca sativa,Pastinaca sativa,"Leitch IJ, Johnston E, Pellicer J, Hidalgo O, Bennett MD. 2019. Plant DNA C-values Database (Release 7.1). https://cvalues.science.kew.org/","It is not the prime estimation, but it is the closer providing ploidy estimation",1.7,2,22,Fe,no
plant,Plant,Phalaris arundinacea,Phalaris arundinacea,"Leitch IJ, Johnston E, Pellicer J, Hidalgo O, Bennett MD. 2019. Plant DNA C-values Database (Release 7.1). https://cvalues.science.kew.org/",NA,4.1,4,28,Fe,no
plant,Plant,Phalaris arundinacea,Phalaris arundinacea,"Leitch IJ, Johnston E, Pellicer J, Hidalgo O, Bennett MD. 2019. Plant DNA C-values Database (Release 7.1). https://cvalues.science.kew.org/",NA,5.7,6,42,Fe,no
plant,Plant,Phalaris arundinacea,Phalaris arundinacea,"Lavergne 2007, PNAS 104: 3883-3888",NA,4.63,4,42,FC_X,no
plant,Plant,Phalaris arundinacea,Phalaris arundinacea,"Lavergne 2007, PNAS 104: 3883-3888",NA,6.75,6,64,FC_X,no
plant,Plant,Phleum pratense,Phleum pratense,"Leitch IJ, Johnston E, Pellicer J, Hidalgo O, Bennett MD. 2019. Plant DNA C-values Database (Release 7.1). https://cvalues.science.kew.org/",NA,4.1,6,42,Fe,no
plant,Plant,Piptochaetium napostaense,Piptochaetium napostaense,NA,NA,NA,NA,NA,NA,NA
plant,Plant,Plantago lanceolata,Plantago lanceolata,"Leitch IJ, Johnston E, Pellicer J, Hidalgo O, Bennett MD. 2019. Plant DNA C-values Database (Release 7.1). https://cvalues.science.kew.org/",NA,1.45,2,12,FC_PI,no
plant,Plant,Plantago major,Plantago major,"Leitch IJ, Johnston E, Pellicer J, Hidalgo O, Bennett MD. 2019. Plant DNA C-values Database (Release 7.1). https://cvalues.science.kew.org/",NA,0.71,2,12,FC_PI,no
plant,Plant,Poa annua,Poa annua,"Leitch IJ, Johnston E, Pellicer J, Hidalgo O, Bennett MD. 2019. Plant DNA C-values Database (Release 7.1). https://cvalues.science.kew.org/",NA,2.9,4,28,Fe,no
plant,Plant,Poa pratensis,Poa pratensis,"Dennhardt LA. 2016. Evidence of climate niche creation in the northern Great Plains: The history of invasion, population genetics, competitive effect, and long-term trends of Poa pratensis L (Doctoral dissertation, North Dakota State University).",average of 20 wild populations (range from 6.35 to 10.47),3.905,NA,NA,FC_PI,no
plant,Plant,Poa sandbergii,Poa sandbergii,NA,NA,NA,NA,NA,NA,NA
plant,Plant,Polygonum cespitosum,Persicaria posumbu,NA,NA,NA,NA,NA,NA,NA
plant,Plant,Prunella vulgaris,Prunella vulgaris,"Leitch IJ, Johnston E, Pellicer J, Hidalgo O, Bennett MD. 2019. Plant DNA C-values Database (Release 7.1). https://cvalues.science.kew.org/",NA,0.65,2,28,FC_PI,no
plant,Plant,Pseudoroegneria spicata,Pseudoroegneria spicata,"Leitch IJ, Johnston E, Pellicer J, Hidalgo O, Bennett MD. 2019. Plant DNA C-values Database (Release 7.1). https://cvalues.science.kew.org/",NA,4.6,2,14,FC_PI,no
plant,Plant,Ranunculus bulbosus,Ranunculus bulbosus,"Leitch IJ, Johnston E, Pellicer J, Hidalgo O, Bennett MD. 2019. Plant DNA C-values Database (Release 7.1). https://cvalues.science.kew.org/",NA,5.6,2,16,Fe,no
plant,Plant,Raphanus raphanistrum,Raphanus raphanistrum,"Gueritaine G, Sester M, Eber F, Chèvre AM & Darmency H. 2002. Fitness of backcross six of hybrids between transgenic oilseed rape (Brassica napus) and wild radish (Raphanus raphanistrum). Molecular Ecology 11(8): 1419-1426.",NA,0.53,2,18,FC_X,no
plant,Plant,Raphanus raphanistrum X R. sativus,Raphanus raphanistrum X Raphanus sativus,"Gueritaine G, Sester M, Eber F, Chèvre AM & Darmency H. 2002. Fitness of backcross six of hybrids between transgenic oilseed rape (Brassica napus) and wild radish (Raphanus raphanistrum). Molecular Ecology 11(8): 1419-1426.","Raphanus (raphanistrum) sativus is a subspeices, so it is the hybrid between to subspecies of Raphanus raphanistrum",0.53,2,18,FC_X,no
plant,Plant,Rhododendron ponticum,Rhododendron ponticum,"Leitch IJ, Johnston E, Pellicer J, Hidalgo O, Bennett MD. 2019. Plant DNA C-values Database (Release 7.1). https://cvalues.science.kew.org/",subspecies Rhododendron ponticum var. brachycarpum,0.74,2,NA,FC_PI,no
plant,Plant,Rorippa austriaca,Rorippa austriaca,NA,NA,NA,NA,NA,NA,NA
plant,Plant,Rumex acetosa,Rumex acetosa,"Leitch IJ, Johnston E, Pellicer J, Hidalgo O, Bennett MD. 2019. Plant DNA C-values Database (Release 7.1). https://cvalues.science.kew.org/",females,3.5,2,14,FC_PI,no
plant,Plant,Rumex acetosa,Rumex acetosa,"Leitch IJ, Johnston E, Pellicer J, Hidalgo O, Bennett MD. 2019. Plant DNA C-values Database (Release 7.1). https://cvalues.science.kew.org/",males,3.75,2,15,FC_PI,no
plant,Plant,Rumex acetosella,Rumex acetosella,"Leitch IJ, Johnston E, Pellicer J, Hidalgo O, Bennett MD. 2019. Plant DNA C-values Database (Release 7.1). https://cvalues.science.kew.org/",NA,1.7,4,42,Fe,no
plant,Plant,Rumex crispus,Rumex crispus,"Leitch IJ, Johnston E, Pellicer J, Hidalgo O, Bennett MD. 2019. Plant DNA C-values Database (Release 7.1). https://cvalues.science.kew.org/",NA,4.4,6,60,Fe,no
plant,Plant,Sanguisorba officinalis,Sanguisorba officinalis,NA,NA,NA,NA,NA,NA,NA
plant,Plant,Sapium sebiferum,Triadica sebifera,NA,NA,NA,NA,NA,NA,NA
plant,Plant,Saussurea laniceps,Saussurea laniceps,NA,NA,NA,NA,NA,NA,NA
plant,Plant,Saussurea medusa,Saussurea medusa,NA,NA,NA,NA,NA,NA,NA
plant,Plant,Saussurea nigrescens,Saussurea nigrescens,NA,NA,NA,NA,NA,NA,NA
plant,Plant,Scabiosa columbaria,Scabiosa columbaria,"Leitch IJ, Johnston E, Pellicer J, Hidalgo O, Bennett MD. 2019. Plant DNA C-values Database (Release 7.1). https://cvalues.science.kew.org/",NA,0.94,2,16,FC_PI,no
plant,Plant,Schizachyrium scoparium,Schizachyrium scoparium,NA,NA,NA,NA,NA,NA,NA
plant,Plant,Secale cereale,Secale cereale,"Leitch IJ, Johnston E, Pellicer J, Hidalgo O, Bennett MD. 2019. Plant DNA C-values Database (Release 7.1). https://cvalues.science.kew.org/",NA,8.8,2,14,Fe,no
plant,Plant,Senecio inaequidens,Senecio inaequidens,"Leitch IJ, Johnston E, Pellicer J, Hidalgo O, Bennett MD. 2019. Plant DNA C-values Database (Release 7.1). https://cvalues.science.kew.org/",NA,0.58,2,20,FC_PI,no
plant,Plant,Senecio inaequidens,Senecio inaequidens,"Leitch IJ, Johnston E, Pellicer J, Hidalgo O, Bennett MD. 2019. Plant DNA C-values Database (Release 7.1). https://cvalues.science.kew.org/",NA,1.08,4,40,FC_PI,no
plant,Plant,Senecio jacobaea,Jacobaea vulgaris,"Leitch IJ, Johnston E, Pellicer J, Hidalgo O, Bennett MD. 2019. Plant DNA C-values Database (Release 7.1). https://cvalues.science.kew.org/",NA,2.3,4,40,Fe,no
plant,Plant,Senecio pterophorus,Senecio pterophorus,"Leitch IJ, Johnston E, Pellicer J, Hidalgo O, Bennett MD. 2019. Plant DNA C-values Database (Release 7.1). https://cvalues.science.kew.org/",NA,1.1,2,20,Fe,no
plant,Plant,Senecio squalidus,Senecio squalidus,"Leitch IJ, Johnston E, Pellicer J, Hidalgo O, Bennett MD. 2019. Plant DNA C-values Database (Release 7.1). https://cvalues.science.kew.org/",NA,0.9,2,20,Fe,no
plant,Plant,Senecio sylvaticus,Senecio sylvaticus,NA,NA,NA,NA,NA,NA,NA
plant,Plant,Senecio vulgaris,Senecio vulgaris,"Leitch IJ, Johnston E, Pellicer J, Hidalgo O, Bennett MD. 2019. Plant DNA C-values Database (Release 7.1). https://cvalues.science.kew.org/",NA,1.6,4,40,Fe,no
plant,Plant,Silene latifolia,Silene latifolia,"Leitch IJ, Johnston E, Pellicer J, Hidalgo O, Bennett MD. 2019. Plant DNA C-values Database (Release 7.1). https://cvalues.science.kew.org/",NA,2.7,2,24,FC_PI,no
plant,Plant,Solanum dulcamara,Solanum dulcamara,"Leitch IJ, Johnston E, Pellicer J, Hidalgo O, Bennett MD. 2019. Plant DNA C-values Database (Release 7.1). https://cvalues.science.kew.org/","It is not the prime estimation, but it is the closer providing ploidy estimation",1.1,2,24,Fe,no
plant,Plant,Solidago altissima,Solidago canadensis var. scabra,"Verloove F, Zonneveld BJ & Semple JC. 2017. First evidence for the presence of invasive Solidago altissima (Asteraceae) in Europe. Willdenowia 47(1): 69-75.",synonym Solidago altissima var. altissima,2.805,6,54,FC_PI,no
plant,Plant,Solidago canadensis,Solidago canadensis var. canadensis,"Leitch IJ, Johnston E, Pellicer J, Hidalgo O, Bennett MD. 2019. Plant DNA C-values Database (Release 7.1). https://cvalues.science.kew.org/. Verloove F, Zonneveld BJ & Semple JC. 2017. First evidence for the presence of invasive Solidago altissima (Asteraceae) in Europe. Willdenowia 47(1): 69-75.",NA,0.98,2,18,FC_PI,no
plant,Plant,Solidago gigantea,Solidago gigantea,"Leitch IJ, Johnston E, Pellicer J, Hidalgo O, Bennett MD. 2019. Plant DNA C-values Database (Release 7.1). https://cvalues.science.kew.org/. Verloove F, Zonneveld BJ & Semple JC. 2017. First evidence for the presence of invasive Solidago altissima (Asteraceae) in Europe. Willdenowia 47(1): 69-75.",NA,1.82,4,36,FC_PI,no
plant,Plant,Solidago gigantea,Solidago gigantea,"Verloove F, Zonneveld BJ & Semple JC. 2017. First evidence for the presence of invasive Solidago altissima (Asteraceae) in Europe. Willdenowia 47(1): 69-75.",,1.905,4,36,FC_PI,no
plant,Plant,Spartina alterniflora,Sporobolus alterniflorus,"Leitch IJ, Johnston E, Pellicer J, Hidalgo O, Bennett MD. 2019. Plant DNA C-values Database (Release 7.1). https://cvalues.science.kew.org/",NA,2.18,6,62,FC_PI,no
plant,Plant,Sporobolus airoides,Sporobolus airoides,NA,NA,NA,NA,NA,NA,NA
plant,Plant,Stellaria graminea,Stellaria graminea,"Leitch IJ, Johnston E, Pellicer J, Hidalgo O, Bennett MD. 2019. Plant DNA C-values Database (Release 7.1). https://cvalues.science.kew.org/",NA,0.96,NA,26,FC_PI,no
plant,Plant,Stipa occidentalis,Stipa occidentalis,NA,NA,NA,NA,NA,NA,NA
plant,Plant,Triadica sebifera,Triadica sebifera,NA,NA,NA,NA,NA,NA,NA
plant,Plant,Trifolium pratense,Trifolium pratense,"Leitch IJ, Johnston E, Pellicer J, Hidalgo O, Bennett MD. 2019. Plant DNA C-values Database (Release 7.1). https://cvalues.science.kew.org/",NA,0.43,2,14,FC_PI,no
plant,Plant,Tristerix corymbosus,Tristerix corymbosus,NA,NA,NA,NA,NA,NA,NA
plant,Plant,Tussilago farfara,Tussilago farfara,"Leitch IJ, Johnston E, Pellicer J, Hidalgo O, Bennett MD. 2019. Plant DNA C-values Database (Release 7.1). https://cvalues.science.kew.org/",NA,1.67,2,60,FC_PI,no
plant,Plant,Ulex europaeus,Ulex europaeus,"Leitch IJ, Johnston E, Pellicer J, Hidalgo O, Bennett MD. 2019. Plant DNA C-values Database (Release 7.1). https://cvalues.science.kew.org/",NA,3.9,6,96,FC_DAPI,no
plant,Plant,Veronica hederifolia,Veronica hederifolia,"Leitch IJ, Johnston E, Pellicer J, Hidalgo O, Bennett MD. 2019. Plant DNA C-values Database (Release 7.1). https://cvalues.science.kew.org/",NA,1.41,6,54,CIA,no
plant,Plant,Zea mays,Zea mays,"Leitch IJ, Johnston E, Pellicer J, Hidalgo O, Bennett MD. 2019. Plant DNA C-values Database (Release 7.1). https://cvalues.science.kew.org/",NA,2.7,2,20,Fe,no
vert,Amphibian,Bufo marinus,Rhinella marina,Gregory TR. 2021. Animal Genome Size Database. http://www.genomesize.com.,NA,3.98,NA,NA,FC_X,no
vert,Amphibian,Bufo marinus,Rhinella marina,Gregory TR. 2021. Animal Genome Size Database. http://www.genomesize.com.,NA,4.01,NA,22,Fe,no
vert,Amphibian,Bufo marinus,Rhinella marina,Gregory TR. 2021. Animal Genome Size Database. http://www.genomesize.com.,NA,4.22,NA,NA,FC_X,no
vert,Amphibian,Bufo marinus,Rhinella marina,Gregory TR. 2021. Animal Genome Size Database. http://www.genomesize.com.,NA,4.64,NA,NA,Fe,no
vert,Amphibian,Bufo marinus,Rhinella marina,Gregory TR. 2021. Animal Genome Size Database. http://www.genomesize.com.,NA,4.88,NA,NA,FC_X,no
vert,Amphibian,Bufo marinus,Rhinella marina,Gregory TR. 2021. Animal Genome Size Database. http://www.genomesize.com.,NA,5.45,NA,NA,Fe,no
vert,Amphibian,Bufo marinus,Rhinella marina,Gregory TR. 2021. Animal Genome Size Database. http://www.genomesize.com.,NA,5.46,NA,NA,FC_X,no
vert,Amphibian,Bufo marinus,Rhinella marina,Gregory TR. 2021. Animal Genome Size Database. http://www.genomesize.com.,NA,5.65,NA,NA,Fe,no
vert,Amphibian,Hydromantes strinatii,Speleomantes strinatii,NA,NA,NA,NA,NA,NA,NA
vert,Amphibian,Rana arvalis,Rana arvalis,Gregory TR. 2021. Animal Genome Size Database. http://www.genomesize.com.,NA,4.65,NA,NA,Fe,no
vert,Amphibian,Rana arvalis,Rana arvalis,Gregory TR. 2021. Animal Genome Size Database. http://www.genomesize.com.,NA,5.15,NA,NA,Fe,no
vert,Amphibian,Rana arvalis,Rana arvalis,Gregory TR. 2021. Animal Genome Size Database. http://www.genomesize.com.,NA,5.23,NA,NA,Fe,no
vert,Amphibian,Rana arvalis,Rana arvalis,Gregory TR. 2021. Animal Genome Size Database. http://www.genomesize.com.,NA,6.18,NA,NA,FC_X,no
vert,Amphibian,Rana arvalis,Rana arvalis,Gregory TR. 2021. Animal Genome Size Database. http://www.genomesize.com.,NA,6.8,NA,NA,Fe,no
vert,Amphibian,Rana arvalis,Rana arvalis,Gregory TR. 2021. Animal Genome Size Database. http://www.genomesize.com.,NA,7.14,NA,24,Fe,no
vert,Amphibian,Rana arvalis,Rana arvalis,Gregory TR. 2021. Animal Genome Size Database. http://www.genomesize.com.,NA,7.17,NA,NA,Fe,no
vert,Amphibian,Rana esculenta complex,Pelophylax lessonae/ridibunda,Gregory TR. 2021. Animal Genome Size Database. http://www.genomesize.com.,Rana esculenta,5.6,NA,26,Fe,no
vert,Amphibian,Rana esculenta complex,Pelophylax lessonae/ridibunda,Gregory TR. 2021. Animal Genome Size Database. http://www.genomesize.com.,Rana esculenta,5.6,NA,NA,Fe,no
vert,Amphibian,Rana esculenta complex,Pelophylax lessonae/ridibunda,Gregory TR. 2021. Animal Genome Size Database. http://www.genomesize.com.,Rana esculenta,6.29,NA,NA,Fe,no
vert,Amphibian,Rana esculenta complex,Pelophylax lessonae/ridibunda,Gregory TR. 2021. Animal Genome Size Database. http://www.genomesize.com.,Rana esculenta,6.5,NA,NA,Fe,no
vert,Amphibian,Rana esculenta complex,Pelophylax lessonae/ridibunda,Gregory TR. 2021. Animal Genome Size Database. http://www.genomesize.com.,Rana esculenta,6.7,NA,NA,Fe,no
vert,Amphibian,Rana esculenta complex,Pelophylax lessonae/ridibunda,Gregory TR. 2021. Animal Genome Size Database. http://www.genomesize.com.,Rana esculenta,6.75,NA,NA,Fe,no
vert,Amphibian,Rana esculenta complex,Pelophylax lessonae/ridibunda,Gregory TR. 2021. Animal Genome Size Database. http://www.genomesize.com.,Rana esculenta,7.04,NA,NA,FC_X,no
vert,Amphibian,Rana esculenta complex,Pelophylax lessonae/ridibunda,Gregory TR. 2021. Animal Genome Size Database. http://www.genomesize.com.,Rana esculenta,7.48,NA,NA,FC_X,no
vert,Amphibian,Rana esculenta complex,Pelophylax lessonae/ridibunda,Gregory TR. 2021. Animal Genome Size Database. http://www.genomesize.com.,Rana esculenta,8.51,NA,NA,SCF,no
vert,Amphibian,Rana esculenta complex,Pelophylax lessonae/ridibunda,Gregory TR. 2021. Animal Genome Size Database. http://www.genomesize.com.,Rana lessonae,6.3,NA,NA,Fe,no
vert,Amphibian,Rana esculenta complex,Pelophylax lessonae/ridibunda,Gregory TR. 2021. Animal Genome Size Database. http://www.genomesize.com.,Rana lessonae,6.43,NA,26,FC_X,no
vert,Amphibian,Rana esculenta complex,Pelophylax lessonae/ridibunda,Gregory TR. 2021. Animal Genome Size Database. http://www.genomesize.com.,Rana lessonae,7.08,NA,NA,FC_X,no
vert,Amphibian,Rana esculenta complex,Pelophylax lessonae/ridibunda,Gregory TR. 2021. Animal Genome Size Database. http://www.genomesize.com.,Rana ridibunda,5.51,NA,26,FC_X,no
vert,Amphibian,Rana esculenta complex,Pelophylax lessonae/ridibunda,Gregory TR. 2021. Animal Genome Size Database. http://www.genomesize.com.,Rana ridibunda,6.9,NA,NA,Fe,no
vert,Amphibian,Rana esculenta complex,Pelophylax lessonae/ridibunda,Gregory TR. 2021. Animal Genome Size Database. http://www.genomesize.com.,Rana ridibunda,7.66,NA,NA,FC_X,no
vert,Amphibian,Rana esculenta complex,Pelophylax lessonae/ridibunda,Gregory TR. 2021. Animal Genome Size Database. http://www.genomesize.com.,Rana ridibunda,8.01,NA,NA,FC_X,no
vert,Amphibian,Rana esculenta complex,Pelophylax lessonae/ridibunda,Gregory TR. 2021. Animal Genome Size Database. http://www.genomesize.com.,Rana ridibunda,8.1,NA,NA,Fe,no
vert,Amphibian,Rana sylvatica,Lithobates sylvaticus,Gregory TR. 2021. Animal Genome Size Database. http://www.genomesize.com.,NA,5.49,NA,NA,FC_X,no
vert,Amphibian,Rana sylvatica,Lithobates sylvaticus,Gregory TR. 2021. Animal Genome Size Database. http://www.genomesize.com.,NA,5.83,NA,26,Fe,no
vert,Amphibian,Rana sylvatica,Lithobates sylvaticus,Gregory TR. 2021. Animal Genome Size Database. http://www.genomesize.com.,NA,5.83,NA,NA,Fe,no
vert,Amphibian,Rana sylvatica,Lithobates sylvaticus,Gregory TR. 2021. Animal Genome Size Database. http://www.genomesize.com.,NA,6.01,NA,NA,FC_X,no
vert,Amphibian,Rana sylvatica,Lithobates sylvaticus,Gregory TR. 2021. Animal Genome Size Database. http://www.genomesize.com.,NA,6.5,NA,NA,Fe,no
vert,Bird,Acrocephalus scirpaceus,Acrocephalus scirpaceus,Gregory TR. 2021. Animal Genome Size Database. http://www.genomesize.com.,congener Acrocephalus baeticatus,1.33,NA,NA,FIA,yes
vert,Bird,Aegithalos caudatus,Aegithalos caudatus,NA,NA,NA,NA,NA,NA,NA
vert,Bird,Agelaius phoeniceus,Agelaius phoeniceus,Gregory TR. 2021. Animal Genome Size Database. http://www.genomesize.com.,NA,1.3,NA,NA,FIA,no
vert,Bird,Agelaius phoeniceus,Agelaius phoeniceus,Gregory TR. 2021. Animal Genome Size Database. http://www.genomesize.com.,NA,1.33,NA,80,Fe,no
vert,Bird,Alauda arvensis,Alauda arvensis,NA,NA,NA,NA,NA,NA,NA
vert,Bird,Anser caerulescens caerulescens,Anser caerulescens caerulescens,Gregory TR. 2021. Animal Genome Size Database. http://www.genomesize.com.,congener Anser anser domesticus,1.44,NA,NA,FIA,yes
vert,Bird,Anser caerulescens caerulescens,Anser caerulescens caerulescens,Gregory TR. 2021. Animal Genome Size Database. http://www.genomesize.com.,congener Anser rossii,1.38,NA,82,FC_X,yes
vert,Bird,Anthus campestris,Anthus campestris,Gregory TR. 2021. Animal Genome Size Database. http://www.genomesize.com.,congener Anthus cinnamomeus,1.29,NA,NA,FIA,yes
vert,Bird,Anthus campestris,Anthus campestris,Gregory TR. 2021. Animal Genome Size Database. http://www.genomesize.com.,congener Anthus crenatus,1.18,NA,NA,FIA,yes
vert,Bird,Anthus campestris,Anthus campestris,Gregory TR. 2021. Animal Genome Size Database. http://www.genomesize.com.,congener Anthus similis,1.26,NA,NA,FIA,yes
vert,Bird,Anthus pratensis,Anthus pratensis,Gregory TR. 2021. Animal Genome Size Database. http://www.genomesize.com.,congener Anthus cinnamomeus,1.29,NA,NA,FIA,yes
vert,Bird,Anthus pratensis,Anthus pratensis,Gregory TR. 2021. Animal Genome Size Database. http://www.genomesize.com.,congener Anthus crenatus,1.18,NA,NA,FIA,yes
vert,Bird,Anthus pratensis,Anthus pratensis,Gregory TR. 2021. Animal Genome Size Database. http://www.genomesize.com.,congener Anthus similis,1.26,NA,NA,FIA,yes
vert,Bird,Anthus trivialis,Anthus trivialis,Gregory TR. 2021. Animal Genome Size Database. http://www.genomesize.com.,congener Anthus cinnamomeus,1.29,NA,NA,FIA,yes
vert,Bird,Anthus trivialis,Anthus trivialis,Gregory TR. 2021. Animal Genome Size Database. http://www.genomesize.com.,congener Anthus crenatus,1.18,NA,NA,FIA,yes
vert,Bird,Anthus trivialis,Anthus trivialis,Gregory TR. 2021. Animal Genome Size Database. http://www.genomesize.com.,congener Anthus similis,1.26,NA,NA,FIA,yes
vert,Bird,Aphelocoma ultramarina,Aphelocoma ultramarina,Gregory TR. 2021. Animal Genome Size Database. http://www.genomesize.com.,congener Aphelocoma coerulescens coerulescens,1.56,NA,NA,FC_X,yes
vert,Bird,Apus apus,Apus apus,Gregory TR. 2021. Animal Genome Size Database. http://www.genomesize.com.,congener Apus affinis,1.38,NA,NA,FIA,yes
vert,Bird,Apus apus,Apus apus,Gregory TR. 2021. Animal Genome Size Database. http://www.genomesize.com.,congener Apus caffer,1.18,NA,NA,FIA,yes
vert,Bird,Apus melba,Tachymarptis melba,NA,NA,NA,NA,NA,NA,NA
vert,Bird,Archilochus colubris,Archilochus colubris,Gregory TR. 2021. Animal Genome Size Database. http://www.genomesize.com.,congener Archilochus alexandri,0.91,NA,NA,FIA,yes
vert,Bird,Archilochus colubris,Archilochus colubris,Gregory TR. 2021. Animal Genome Size Database. http://www.genomesize.com.,congener Archilochus alexandri,1.18,NA,NA,FIA,yes
vert,Bird,Bombycilla cedrorum,Bombycilla cedrorum,Gregory TR. 2021. Animal Genome Size Database. http://www.genomesize.com.,NA,1.24,NA,NA,FIA,no
vert,Bird,Branta leucopsis,Branta leucopsis,NA,NA,NA,NA,NA,NA,NA
vert,Bird,Cardinalis cardinalis,Cardinalis cardinalis,Gregory TR. 2021. Animal Genome Size Database. http://www.genomesize.com.,NA,1.37,NA,NA,FIA,no
vert,Bird,Carduelis cannabina,Linaria cannabina,NA,NA,NA,NA,NA,NA,NA
vert,Bird,Carduelis carduelis,Carduelis carduelis,NA,NA,NA,NA,NA,NA,NA
vert,Bird,Carduelis chloris,Chloris chloris,NA,NA,NA,NA,NA,NA,NA
vert,Bird,Carduelis spinus,Spinus spinus,Gregory TR. 2021. Animal Genome Size Database. http://www.genomesize.com.,congener Spinus tristis (synonym Carduelis tristis),1.32,NA,NA,FIA,yes
vert,Bird,Carpodacus mexicanus,Haemorhous mexicanus,Gregory TR. 2021. Animal Genome Size Database. http://www.genomesize.com.,congener Carpodacus purpureus,1.4,NA,NA,FIA,yes
vert,Bird,Carpodacus purpureus,Haemorhous purpureus,Gregory TR. 2021. Animal Genome Size Database. http://www.genomesize.com.,NA,1.4,NA,NA,FIA,no
vert,Bird,Catharus fuscescens,Catharus fuscescens,Gregory TR. 2021. Animal Genome Size Database. http://www.genomesize.com.,NA,1.34,NA,NA,FIA,no
vert,Bird,Catharus guttatus,Catharus guttatus,Gregory TR. 2021. Animal Genome Size Database. http://www.genomesize.com.,NA,1.4,NA,NA,FIA,no
vert,Bird,Catharus minimus,Catharus minimus,Gregory TR. 2021. Animal Genome Size Database. http://www.genomesize.com.,NA,1.31,NA,NA,FIA,no
vert,Bird,Coccothraustes coccothraustes,Coccothraustes coccothraustes,NA,NA,NA,NA,NA,NA,NA
vert,Bird,Coccothraustes vespertinus,Hesperiphona vespertina,NA,NA,NA,NA,NA,NA,NA
vert,Bird,Coccyzus americanus,Coccyzus americanus,NA,NA,NA,NA,NA,NA,NA
vert,Bird,Coccyzus erythropthalmus,Coccyzus erythropthalmus,NA,NA,NA,NA,NA,NA,NA
vert,Bird,Contopus virens,Contopus virens,Gregory TR. 2021. Animal Genome Size Database. http://www.genomesize.com.,NA,1.15,NA,NA,FIA,no
vert,Bird,Coturnix coturnix,Coturnix coturnix,Gregory TR. 2021. Animal Genome Size Database. http://www.genomesize.com.,NA,1.35,NA,78,FC_X,no
vert,Bird,Cyanocitta cristata,Cyanocitta cristata,Gregory TR. 2021. Animal Genome Size Database. http://www.genomesize.com.,NA,1.32,NA,NA,Fe,no
vert,Bird,Cyanocitta cristata,Cyanocitta cristata,Gregory TR. 2021. Animal Genome Size Database. http://www.genomesize.com.,NA,1.32,NA,NA,FIA,no
vert,Bird,Cyanocitta cristata,Cyanocitta cristata,Gregory TR. 2021. Animal Genome Size Database. http://www.genomesize.com.,NA,1.43,NA,78-80,FC_X,no
